Name,Pattern,Data
Facebook,0,"""For the first time, Today's Inspired Latina (TIL), an internationally acclaimed book series highlighting the success stories of Latinas, invited several young Hispanic women to speak about their personal experiences on the stage of North Central College'"
Facebook,0,"BANGKOK - The Chinese embassy in Bangkok has condemned Thai politicians for showing support to Hong Kong activists amid mass anti-Beijing protests, saying that such move could harm the relationship between the two countries.\n\nThe criticism was echoed by"
Facebook,0,"Danny Kingad faces Demetrious Johnson in the Finals of the ONE Flyweight World Grand Prix\n\nOn October 13th, ONE Championship heads back to the historic Ryogoku Kokugikan in Tokyo, Japan for ONE: Century, the promotion's 100th event. To mark the mileston"
Facebook,0,"OAKLAND, Calif., Oct. 11, 2019 /PRNewswire/ -- Alameda Health System (AHS) successfully launched its new Epic electronic health record (EHR) system last week. Epic is the most widely-used and comprehensive health records system in the country. The EHR imp"
Facebook,0,"The best way to combat a \snake fish\"" is by cutting off its head.\n\nAn invasive Asian snakehead fish that can grow to almost a metre long and exist on land has surfaced in Georgia for the first time. Wildlife officials in the US state have formulated a "
Facebook,0,There are currently 592 unclaimed deposits averaging �252 each in the Scottish capital according to SafeDeposits Scotland\n\nGet the biggest Daily News stories by emailSubscribe We will use your email address only for the purpose of sending you newsletter
Facebook,0,"""WASHINGTON: Ahead of the annual Blueberry Festival in Marshall County, Indiana, in early September, a woman broadcast a warning to her neighbors on ENTITY.\n\n\""I just heard there's supposed to be a mass shooting tonight at the fireworks,\"" the woman, wh"
Facebook,0,"The bounce is back in a vintage Donald Trump, charismatic and calculating replete with theatrics, pausing for effect as he had 19,000 people completely in his thrall at Minneapoliss Target Centre in his first 2020 campaign speech since the launch of the i"
Facebook,0,"""Residents of suburbs named newborn daughter Russia. Now in the documents the girl will be referred to as Russia O. Solnyshkina. Young parents claim that the name was chosen, guided by Patriotic feelings.\n\nThe unusual name of the girl sparked controvers"
Facebook,0,"In the British city of Durham street surveillance camera caught a curious case. For 10 seconds of the video past the parked on the street car, which belongs to the man-the disabled person is a suspect type. Pausing near the car, he picks up a brick lying "
Malvinder Singh,1,"Former promoters of pharmaceutical giant Ranbaxy, Shivinder Singh and his elder brother ENTITY, have been arrested in a Rs 740 crore fraud case, sources said.\n\nAccording to sources, Shivinder was arrested on Thursday evening while Malvinder was arrested"
Malvinder Singh,1,"Police in India have arrested two businessmen brothers over alleged embezzlement of more than $330m (�265m) from a financial services company.\n\nShivinder Singh and ENTITY, former promoters of the pharmaceutical giant Ranbaxy, were once counted among the"
Malvinder Singh,1,"The Economic Offences Wing (EOW) of the Delhi police arrested ENTITY in Ludhiana in a late night drama on allegations of cheating and diverting funds of Religare Finvest to the tune of Rs 2,397 crore.\n\nEarlier on October 10 his brother Shivinder, former"
Malvinder Singh,1,The Economic Offences Wing (EOW) of Delhi Police has formally arrested Ranbaxy's former promoter ENTITY.\n\nSingh was detained from Punjab's Ludhiana based on the complaint given by Manpreet Singh Suri of Religare Finvest Ltd (RFL) in an alleged fraud cas
Ranbaxy,1,"Former promoters of pharmaceutical giant ENTITY, Shivinder Singh and his elder brother Malvinder Singh, have been arrested in a Rs 740 crore fraud case, sources said.\n\nAccording to sources, Shivinder was arrested on Thursday evening while Malvinder was "
Ranbaxy,1,"Police in India have arrested two businessmen brothers over alleged embezzlement of more than $330m (�265m) from a financial services company.\n\nShivinder Singh and Malvinder Singh, former promoters of the pharmaceutical giant ENTITY, were once counted a"
Ranbaxy,1,The Economic Offences Wing (EOW) of Delhi Police has formally arrested ENTITY's former promoter Malvinder Singh.\n\nSingh was detained from Punjab's Ludhiana based on the complaint given by Manpreet Singh Suri of Religare Finvest Ltd (RFL) in an alleged f
Ranbaxy,1,"Former billionaire and Indian healthcare tycoon, Shivinder Singh, was arrested alongside three others over charges of siphoning around $340 million from a lender they controlled.\n\nThe arrests by New Dehli police follow accusations that Singh and his ass"
Ranbaxy,1,"One Singh brother has been arrested, while the other is still on the run. Indian pharma mogul Shivinder Singh was taken into custody in Delhi on charges of fraud and the misappropriation of funds. His brother Malvinder, however, remains at large.\n\nThe b"
Ranbaxy,1,"If Handke's victory caused uncomfortable ripples, the choice of Tokarczuk was welcomed by liberal-minded authors\n\nNobel Prizes for literature were awarded Thursday to two writers enmeshed in Europe's social and political fault lines: a liberal Pole who "
Ranbaxy,1,"Singh was detained from Punjab's Ludhiana based on the complaint given by Manpreet Singh Suri of Religare Finvest Ltd (RFL) in an alleged fraud case.\n\nEOW had, on Thursday, arrested four people including ENTITY's former promoter Shivinder Mohan Singh ba"
Ranbaxy,1,"New Delhi [India], Oct 11 (ANI): The Economic Offences Wing (EOW) of Delhi Police has formally arrested ENTITY's former promoter Malvinder Singh.\n\nSingh was detained from Punjab's Ludhiana based on the complaint given by Manpreet Singh Suri of Religare "
Ranbaxy,1,"Former promoters of pharmaceutical giant ENTITY, Shivinder Singh and his elder brother Malvinder Singh, have been arrested in a Rs 740 crore fraud case, sources said.\n\nAccording to sources, Shivinder was arrested on Thursday (10 October) evening while M"
Mark Zuckerberg,0,"""WASHINGTON: Ahead of the annual Blueberry Festival in Marshall County, Indiana, in early September, a woman broadcast a warning to her neighbors on Facebook.\n\n\""I just heard there's supposed to be a mass shooting tonight at the fireworks,\"" the woman, "
Mark Zuckerberg,0,"""The results are in. The Trump tax cuts resulted in most families saving so little that majorities continue to insist they see no difference in their paychecks. But one very small group made out spectacularly.\n\nAccording to figures put together by econo"
Mark Zuckerberg,0,"""Facebook CEO ENTITY will appear before Congress this month as the tech giant is under pressure from lawmakers and regulators over its massive market power and record of privacy breaches.\n\nRep. Maxine Waters, the California Democrat who heads the House "
Mark Zuckerberg,0,"""Jesse Eisenberg and Alexander Skarsg�rd star in The Hummingbird Project.\n\nWith The Hummingbird Project, Canadian writer-director Kim Nguyen has created possibly the first stock market fraud thriller to be set predominantly in a rural environment. Nguye"
Mark Zuckerberg,0,"""It can be hard to remember from this side of a successful foreign intervention in a US presidential election, but in April 2016, ENTITY was widely praised when he spoke out - however obliquely - against Donald Trump's then longshot presidential candidacy"
Mark Zuckerberg,0,"""(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.)\n\nChris Orban, The Ohio State University\n\n(THE CONVERSATION) In 2013, a who's who of the tech world came together to launch a newnonprofi"
Mark Zuckerberg,0,"""It's our third Vergecast of the week, and it's time to recap what happened in the tech world. First up, Silicon Valley editor Casey Newton starts the show by explaining what we heard candidly from Facebook CEO ENTITY in leaked audio of an internal Facebo"
Mark Zuckerberg,0,"""A keen understanding of the way our brain functions is essential to building sustainable routines and habits that set us up for success, says Jay Kumar Hariharan.\n\n'Preventing decision fatigue is also one of the reasons past President Barack Obama and "
Mark Zuckerberg,0,"""Next Tuesday, ENTITY will take the stage to give his annual opening keynote address at Facebook's F8 developer conference. In the wake of months of privacy- and security-related controversies that culminated in the Cambridge Analytica scandal, it will be"
Mark Zuckerberg,0,"""Facebook's much-rumored move into cryptocurrency is official. On Tuesday, the Facebook-led Libra Association introduced itself and its mission to the public. This alliance of financial and tech titans will function as an independent not-for-profit organi"
Guptas,1,"Members of South Africa's controversial Gupta family have long been implicated in a series of corrupt political connections and illegal deals that have earned them millions, often in government funds. The influence of the family, now reportedly in exile i"
INX Media,1,"""Justice Suresh Kait issued notice to Chidambaram and Karti on the agency's petition seeking cancellation of their anticipatory bail.\n\nThe Delhi High Court on Friday sought response of former finance minister P Chidambaram and his son Karti on the Enfor"
INX Media,1,"""Post-arrest of former Finance Minister P Chidambaram by CBI in connection with the ENTITY scam, his son Karti appeared before the Enforcement Directorate (ED) on Wednesday and was grilled by the agency in a related money laundering probe. The move comes "
INX Media,1,"""Chinese President Xi Jinping, Narendra Modi to hold informal summit in Tamil Nadu's Mamallapuram today\n\nChinese president Xi Jinping is going to land in Chennai around 2 pm on Friday for his two-day India visit (11 and 12 October). He will hold an info"
INX Media,1,"""New Delhi: The Enforcement Directorate approached the Delhi High Court on Thursday seeking cancellation of anticipatory bail granted to former finance minister P Chidambaram and his son Karti in the Aircel-Maxis case, claiming that there is the likelihoo"
INX Media,1,"""The case pertains to alleged irregularities in grant of Foreign Investment Promotion Board (FIPB) approval in the Rs 3,500-crore Aircel-Maxis deal when Chidambaram was finance minister.\n\nThe Enforcement Directorate (ED) on Thursday moved the Delhi high"
INX Media,1,"""The cases relate to alleged irregularities in grant of Foreign Investment Promotion Board (FIPB) approval in the Rs 3,500-crore Aircel-Maxis deal when Chidambaram was finance minister.\n\nThe Enforcement Directorate (ED) on Thursday moved the Delhi High "
INX Media,1,"""New Delhi: The Enforcement Directorate (ED) on Thursday moved the Delhi High Court challenging the order of a trial court which granted anticipatory bail to Congress leader P Chidambaram and his son Karti Chidambaram in alleged connection with the Aircel"
INX Media,1,New Delhi: The Enforcement Directorate (ED) on Thursday termed the anticipatory bail granted to Congress leader P Chidambaram and his son Karti Chidambaram by the trial court in the Aircel-Maxis case as 'unwarranted'.\n\nIn its plea to the Delhi High Cour
INX Media,1,"""The Enforcement Directorate, ED today approached the Delhi High Court seeking cancellation of anticipatory bail granted to former finance minister P Chidambaram and his son, Karti in the Aircel-Maxis case.\n\nThe plea is likely to be heard tomorrow. The "
INX Media,1,"""New Delhi [India], Oct 10 (ANI): The Enforcement Directorate (ED) on Thursday termed the anticipatory bail granted to Congress leader P Chidambaram and his son Karti Chidambaram by the trial court in the Aircel-Maxis case as 'unwarranted'.\n\nIn its plea"
Richard Branson,0,"London crypto giant, backed by ENTITY, eyes $50m venture arm\n\nBlockchain startups have a new source of backing on the horizon. And it comes from one of the most high-profile groups in the space.\n\nHe says Europe is not quite there yet, but is one its w"
